Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
429380.435,4584706.193,2.15393985,41.40895468
430934.783,4582858.79,2.17274603,41.39245084
430934.783,4582858.79,2.17274603,41.39245084
431442.954,4585094.901,2.17857055,41.41263431
431442.954,4585094.901,2.17857055,41.41263431
430074.765,4586997.053,2.16198139,41.42964835
430074.765,4586997.053,2.16198139,41.42964835
427949.463,4582768.565,2.1370514,41.39137618
427949.463,4582768.565,2.1370514,41.39137618
430256.296,4582168.26,2.16471061,41.38617287
430256.296,4582168.26,2.16471061,41.38617287
427844.465,4584814.223,2.13555167,41.40979118
427844.465,4584814.223,2.13555167,41.40979118
427231.663,4581394.682,2.12863157,41.37893749
427231.663,4581394.682,2.12863157,41.37893749
429236.199,4584083.839,2.15228711,41.40333668
429236.199,4584083.839,2.15228711,41.40333668
431651.359,4587257.845,2.18081933,41.432133
431126.802,4583044.107,2.17502155,41.39413641
431126.802,4583044.107,2.17502155,41.39413641
432363.422,4581384.384,2.18999786,41.37929272
432363.422,4581384.384,2.18999786,41.37929272
432363.422,4581384.384,2.18999786,41.37929272
428367.184,4580805.93,2.14227953,41.37373676
428367.184,4580805.93,2.14227953,41.37373676
427948.613,4582755.864,2.13704274,41.39126171
431648.432,4583591.24,2.18119883,41.39910881
431648.432,4583591.24,2.18119883,41.39910881
429823.542,4578732.777,2.15993308,41.35519284
429823.542,4578732.777,2.15993308,41.35519284
430246.053,4583163.854,2.1644734,41.39513898
430246.053,4583163.854,2.1644734,41.39513898
429817.133,4582361.217,2.15943621,41.38787256
429817.133,4582361.217,2.15943621,41.38787256
429817.133,4582361.217,2.15943621,41.38787256
432696.869,4588930.556,2.19314528,41.44728689
432696.869,4588930.556,2.19314528,41.44728689
433340.439,4582687.959,2.20153757,41.39111531
433340.439,4582687.959,2.20153757,41.39111531
427523.122,4584010.818,2.13180356,41.40252632
429430.093,4583191.251,2.15471064,41.39531451
429430.093,4583191.251,2.15471064,41.39531451
